N,gpu_sec
1000000,0.241251
2000000,0.408766
3000000,0.425132
4000000,0.447298
5000000,0.477704
6000000,0.499147
7000000,0.531505
8000000,0.551402
9000000,0.575494
10000000,0.605441
11000000,0.629367
12000000,0.655962
13000000,0.679830
14000000,0.706367
15000000,0.734955
16000000,0.763000
17000000,0.788820
18000000,0.811515
19000000,0.837685
20000000,0.862294
21000000,0.895829
22000000,0.914509
23000000,0.949835
24000000,0.970032
25000000,1.01205
26000000,1.027791
27000000,1.048967
28000000,1.080452
29000000,1.103490
30000000,1.134057
31000000,1.163123
32000000,1.187045
33000000,1.218218
34000000,1.246873
35000000,1.269903
36000000,1.300717
37000000,1.325853
38000000,1.355201
39000000,1.383837
40000000,1.406877
41000000,1.437442
42000000,1.466400
43000000,1.497222
44000000,1.528433
45000000,1.559620
46000000,1.591000
47000000,1.621735
48000000,1.652593
49000000,1.684453
50000000,1.715796
51000000,1.746994
52000000,1.778597
53000000,1.810513
54000000,1.840866
55000000,1.871127
56000000,1.902975
57000000,1.935379
58000000,1.967974
59000000,1.998201
60000000,2.028147
61000000,2.059703
62000000,2.090445
63000000,2.120014
64000000,2.151559
65000000,2.182908
66000000,2.213422
67000000,2.243895
68000000,2.275592
69000000,2.306518
70000000,1.832909
71000000,2.370633
72000000,2.403413
73000000,2.434101
74000000,2.465891
75000000,2.497136
76000000,2.528648
77000000,2.560798
78000000,2.591069
79000000,2.623361
80000000,2.655832
81000000,2.687525
82000000,2.721099
83000000,2.751920
84000000,2.782964
85000000,2.814719
86000000,2.845428
87000000,2.877023
88000000,2.909041
89000000,2.940334
90000000,2.970550
91000000,3.003709
92000000,3.043257
93000000,3.066372
94000000,3.188146
95000000,3.315265
96000000,3.165533
97000000,3.194039
98000000,3.224981
99000000,3.256868
